IosevkaTermSlab	IosevkaTermSlab NF	OFL-1.1-no-RFN	33.2.1	false	Nice as Iosevka but with slab serifs	true
JetBrainsMono	JetBrainsMono Nerd Font	OFL-1.1-no-RFN	2.304	jetbrainsmono	JetBrains officially created font for developers	true
Lekton	Lekton Nerd Font	OFL-1.1-no-RFN	34	lekton	Very light and thin characters, sharp m's, `0` and `O` very similar	true
LiberationMono	LiterationMono Nerd Font	OFL-1.1-RFN	2.1.5	liberation	`0` and `O` very similar, very short tight descenders	true
Lilex	Lilex Nerd Font	OFL-1.1-no-RFN	2.600	lilex	Modern with ligatures	true
MartianMono	MartianMono NF	OFL-1.1-no-RFN	1.1.0	martian-mono	Free and open-source monospaced font from Evil Martians	true
Meslo	MesloLGM Nerd Font	Apache-2.0	1.21	meslo	Slashed zeros, customized version of Apple's Menlo	true
Monaspace	MonaspiceNe NF	OFL-1.1-RFN	1.200	monaspace-neon	Five matching fonts all having 'texture healing' to improve legibility	true
Monofur	Monofur Nerd Font	LicenseRef-Monofur	1.0	monofur	Dotted zeros, slightly exaggerated curvy characters, compact characters	true
Monoid	Monoid Nerd Font	MIT OR OFL-1.1-no-RFN	0.61	monoid	Ligatures, distinguishable glyphs with short ascenders &amp; descenders, large operators &amp; punctuation	true
Mononoki	Mononoki Nerd Font	OFL-1.1-RFN	1.6	mononoki	Keeps in mind differentiation of characters and resolution sizes	true
MPlus	M+1Code Nerd Font	OFL-1.1-no-RFN	1.007	mplus	Multiple styles and weights, many glyph sets (e.g. Kana glyphs)	true
Noto	NotoSansM Nerd Font	OFL-1.1-no-RFN	div	noto	`0` and `O` very similar, characters are either very curvy or straight lined	true
OpenDyslexic	OpenDyslexic Nerd Font	Bitstream-Vera	2.001	opendyslexic	Designed specifically to alleviate reading errors caused by dyslexia	false
Overpass	OverpassM Nerd Font	OFL-1.1-no-RFN or LGPL-2.1-only	3.0.5	overpass	An open source font family inspired by Highway Gothic	true
ProFont	ProFont IIx Nerd Font	MIT	2.3/2.2	profont	Looks best with anti-aliasing turned off, squared off character corners, vertically tight small `s`	true
ProggyClean	ProggyClean Nerd Font	MIT	2004/04/15	proggy-clean	Designed particularly for use at small point sizes	true
Recursive	RecMonoSmCasual Nerd Font	OFL-1.1-no-RFN	1.085	recursive-mono-linear	inspired by casual script signpainting, 4 variants	true
RobotoMono	RobotoMono Nerd Font	Apache-2.0	3.0	roboto	Dashed zero, curved and straight character lines	true
ShareTechMono	ShureTechMono Nerd Font	OFL-1.1-RFN	1.003	share-tech	Dotted zeros, distinguishable 1 and l, curved and straight character lines	true
SourceCodePro	SauceCodePro Nerd Font	OFL-1.1-RFN	2.042	source-code-pro	Monospaced font family for user interface and coding environments	true
SpaceMono	SpaceMono Nerd Font	OFL-1.1-no-RFN	1.001	space	Squarish character lines, dotted zero, aggressive parethesis	true
NerdFontsSymbolsOnly	Symbols2048Em Nerd Font Mono	MIT	latest	false	Just the Nerd Font Icons. I.e Symbol font only	true
Terminus	Terminess Nerd Font	OFL-1.1-RFN	4.49.2	terminus	Squarish characters that are slightly askew	true
Tinos	Tinos Nerd Font	Apache-2.0	1.23	false	Some similarities to Times New Roman, designed by Steve Matteson, includes pan-European WGL character set	false
Ubuntu	Ubuntu Nerd Font	LicenseRef-UbuntuFont	0.83	false	Specially created for Ubuntu	false
UbuntuMono	UbuntuMono Nerd Font	LicenseRef-UbuntuFont	0.80	ubuntu	Dotted zeros, used the `n`, `o`, `H` &amp; `O` Latin characters as a base for design	true
UbuntuSans	UbuntuSansMono NF	LicenseRef-UbuntuFont	1.006	false	Refreshed version of Ubuntu and Ubuntu Mono fonts	true
VictorMono	VictorMono Nerd Font	OFL-1.1-no-RFN	1.5.6	victor-mono	Clean, crisp and narrow, with a large x-height and clear punctuation	true
ZedMono	ZedMono NF	OFL-1.1-no-RFN	1.2.0	false	Zed Mono is a more rounded version of Iosevka	true
